file,mono_lufs_before,mono_lufs_after,stereo_true_peak_db_before,stereo_true_peak_db_after,gain_db,limiter_ceiling_db,sha256_after
thinking/Star_Wars_droid_pond_#1-1785906465214.mp3,-18.90,-20.00,-4.84,-5.99,-1.1,-3.0,f8d60e9e97fefc8deefdcd7fd98fdf60c9ac03210817f75ef52c2cc914b3e954
thinking/Star_Wars_droid_pond_#3-1785906440294.mp3,-16.21,-20.00,-1.75,-5.54,-3.79,-3.0,01ce475f52c0c9f729a36da69333e3c3c51d5538ab28c5766e1000cb5afc1e29
thinking/Star_Wars_droid_pond_#4-1785906433977.mp3,-23.98,-20.00,-7.10,-3.13,3.98,-3.0,52c389881bd8cd3bc780dd6c51b812978fc48f67144824e90a9cefe4b76967ba
thinking/Star_Wars_droid_pond_#4-1785906454640.mp3,-15.61,-19.98,-1.02,-5.40,-4.39,-3.0,e8263df4aa33fecdbe8699a9ed8051ff56478107fb315f6bd18ff19e8e0930ef
thinking/Star_Wars_droid_pond_#4-1785906486406.mp3,-17.98,-20.03,-3.63,-5.64,-2.02,-3.0,807e9d91ec194100b311d00cd7707ff73f996a5c8c7916ee4d8b1d75fa5e55f6
thinking/Star_Wars_droid_thin_#1-1785906138186.mp3,-32.94,-20.18,-12.66,-2.96,13.11,-3.0,3614ee199e3878a0e71cfa38945708731039a7f527aeb97995259b0e5cb58069
thinking/Star_Wars_droid_thin_#1-1785906186336.mp3,-33.75,-20.09,-15.51,-2.95,13.75,-3.0,187d1b95d7372f5ab48ef62b88d26cd04cc3c7382a19ca8d2c2f6170d65d3450
thinking/Star_Wars_droid_thin_#1-1785906197363.mp3,-29.76,-20.14,-10.12,-2.90,9.89,-3.0,d58a6e7e6846c989494ce4f5e313cd2096b28ec6342419b2f7b1df17dada4e3e
thinking/Star_Wars_droid_thin_#2-1785906132890.mp3,-31.85,-20.01,-14.05,-3.07,11.85,-3.0,863d5698971a8df95dbeec64c3936022f5221fe0e3d2afa14627d5dd6243ed47
thinking/Star_Wars_droid_thin_#2-1785906208158.mp3,-24.17,-20.20,-4.38,-2.97,4.355,-3.0,08869d34300133138fe94765de2361ce1847a3da19eb3cb21fa05f594efdf6a1
thinking/Star_Wars_droid_thin_#3-1785906104960.mp3,-34.06,-20.24,-9.42,-2.97,15.15,-3.0,c7bf759a83530d95d6bfcc502e9b551f711d220913c80e560c1457c3d96663aa
thinking/Star_Wars_droid_thin_#4-1785906042520.mp3,-31.22,-20.08,-13.76,-2.99,11.22,-3.0,789b8d35480498a2dbd7872cedf53fb458b250f53e5d50c396e38b708e16b0b9
thinking/Star_Wars_droid_thin_#4-1785906070219.mp3,-31.22,-20.08,-13.76,-2.99,11.22,-3.0,789b8d35480498a2dbd7872cedf53fb458b250f53e5d50c396e38b708e16b0b9
thinking/Star_Wars_droid_thin_#4-1785906123113.mp3,-33.34,-20.22,-13.11,-2.95,13.34,-3.0,feeb70c7f026adea0b2822874f758872f828235d7677934169667b571b991554
